image,label,item-count
https://matteomenapace.github.io/playingcards/daybreak/opportunities/1.png,1,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/2.png,2,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/3.png,3,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/4.png,4,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/5.png,5,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/6.png,6,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/7.png,7,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/8.png,8,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/9.png,9,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/10.png,10,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/11.png,11,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/12.png,12,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/13.png,13,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/14.png,14,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/15.png,15,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/16.png,16,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/17.png,17,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/18.png,18,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/19.png,19,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/20.png,20,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/21.png,21,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/22.png,22,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/23.png,23,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/24.png,24,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/25.png,25,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/26.png,26,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/27.png,27,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/28.png,28,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/29.png,29,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/30.png,30,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/31.png,31,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/32.png,32,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/33.png,33,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/34.png,34,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/35.png,35,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/36.png,36,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/37.png,37,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/38.png,38,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/39.png,39,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/40.png,40,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/41.png,41,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/42.png,42,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/43.png,43,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/44.png,44,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/45.png,45,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/46.png,46,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/47.png,47,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/48.png,48,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/49.png,49,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/50.png,50,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/51.png,51,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/52.png,52,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/53.png,53,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/54.png,54,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/55.png,55,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/56.png,56,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/57.png,57,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/58.png,58,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/59.png,59,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/60.png,60,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/61.png,61,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/62.png,62,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/63.png,63,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/64.png,64,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/65.png,65,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/66.png,66,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/67.png,67,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/68.png,68,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/69.png,69,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/70.png,70,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/71.png,71,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/72.png,72,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/73.png,73,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/74.png,74,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/75.png,75,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/76.png,76,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/77.png,77,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/78.png,78,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/79.png,79,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/80.png,80,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/81.png,81,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/82.png,82,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/83.png,83,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/85.png,85,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/86.png,86,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/87.png,87,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/88.png,88,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/89.png,89,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/90.png,90,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/91.png,91,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/92.png,92,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/93.png,93,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/94.png,94,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/95.png,95,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/96.png,96,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/97.png,97,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/98.png,98,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/99.png,99,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/100.png,100,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/101.png,101,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/102.png,102,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/103.png,103,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/104.png,104,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/105.png,105,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/106.png,106,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/107.png,107,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/108.png,108,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/109.png,109,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/110.png,110,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/111.png,111,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/112.png,112,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/113.png,113,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/114.png,114,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/115.png,115,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/116.png,116,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/117.png,117,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/118.png,118,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/119.png,119,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/120.png,120,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/121.png,121,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/122.png,122,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/123.png,123,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/124.png,124,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/125.png,125,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/126.png,126,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/127.png,127,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/128.png,128,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/129.png,129,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/130.png,130,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/132.png,132,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/133.png,133,1
https://matteomenapace.github.io/playingcards/daybreak/opportunities/134.png,134,1
